name,artists,id,popularity
Drankin N Smokin,"['Future', 'Lil Uzi Vert']",0k7wmahjkn389wAZdz19Cv,83
Dead Man Walking,['Brent Faiyaz'],5VlTQnZO89Ioku8ssdbqJk,83
Righteous,['Juice WRLD'],5dOxHHMOFAbG3VH23t0xNm,83
Hate The Other Side (with Marshmello & The Kid Laroi),"['Juice WRLD', 'Marshmello', 'The Kid LAROI', 'Polo G']",0ada5XsQGLPUVbmTCkAP49,83
Show Out (with Skepta & Pop Smoke),"['Kid Cudi', 'Skepta', 'Pop Smoke']",5CFJRZRq6sdKKtRwNPWbYv,83
ALWAYS DO,['The Kid LAROI'],3QCU8BT0zDS9LPVfEhRFEE,83
Spicy (feat. Post Malone),"['Ty Dolla $ign', 'Post Malone']",5IUtvfNvOyVYZUa6AJFrnP,83
Chicago Freestyle (feat. Giveon),"['Drake', 'Giveon']",4wVOKKEHUJxHCFFNUWDn0B,83
Remember That Night?,['Sara Kays'],1nYzjrdVQ8RpF93M0jPFW7,83
Blueberry Faygo,['Lil Mosey'],22LAwLoDA5b4AaGSkg6bKW,83
SO DONE,['The Kid LAROI'],3qgPpwtuRu5oP8EtFSj8HE,83
You Got It,['Vedo'],4lsHZ92XCFOQfzJFBTluk8,83
Lose You To Love Me,['Selena Gomez'],4l0Mvzj72xxOpRrp6h8nHi,83
Yo Perreo Sola,['Bad Bunny'],0SqqAgdovOE24BzxIClpjw,83
YO VISTO ASÍ,['Bad Bunny'],5fROvzNghPid8mbKNDYvpJ,83
Boss Bitch,['Doja Cat'],78qd8dvwea0Gosb6Fe6j3k,83
Toosie Slide,['Drake'],127QTOFJsJQp5LbJbu3A1y,83
CÓMO SE SIENTE - Remix,"['Jhay Cortez', 'Bad Bunny']",2tFwfmceQa1Y6nRPhYbEtC,83
Blue & Grey,['BTS'],0n2moJpAEWHwaPYYjkzMDl,83
How You Like That,['BLACKPINK'],4SFknyjLcyTLJFPKD2m96o,83
Mad at Disney,['salem ilese'],7aGyRfJWtLqgJaZoG9lJhE,83
I CAN'T STOP ME,['TWICE'],37ZtpRBkHcaq6hHy0X98zn,83
Diamonds,['Sam Smith'],5hvwx5i67IwnCkjl9VHkNv,83
La Jeepeta - Remix,"['Nio Garcia', 'Anuel AA', 'Myke Towers', 'Brray', 'Juanka']",1mohfLaTJtB2RplHLQVM70,83
"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie","['Tainy', 'J Balvin']",1pqnQ41XbfKjaFu6M0eGJp,83
Más De La Una,"['Piso 21', 'Maluma']",69Y5IZuBvGyzySFt5x7kCq,83
Lasting Lover,"['Sigala', 'James Arthur']",0DmAvNCAK08oCi7miSZUIY,83
Del Mar,"['Ozuna', 'Doja Cat', 'Sia']",5cpJFiNwYyWwFLH0V6B3N8,83
"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","['Jay Wheeler', 'Myke Towers', 'Rauw Alejandro', 'DJ Nelson', 'Jhay Cortez', 'Lunay', 'Kendo Kaponi']",7LE1K0lZyRFZjSlrnm7lfD,83
Caramelo,['Ozuna'],3gD4J3RUHy4OUuZ3qAiaiG,83
Nada,"['Cali Y El Dandee', 'Danna Paola']",4K8cyoCDovlc4FvtUr2Hfx,83
Sleigh Ride,['The Ronettes'],5ASM6Qjiav2xPe7gRkQMsQ,82
Here Comes The Sun - Remastered 2009,['The Beatles'],6dGnYIeXmHdcikdzNNDMm2,82
Highway to Hell,['AC/DC'],2zYzyRzz6pRmhPzyfMEC8s,82
Africa,['TOTO'],2374M0fQpWi3dLnB54qaLX,82
Last Christmas,['Wham!'],2FRnf9qhLbvw8fu4IBXx78,82
Everybody Wants To Rule The World,['Tears For Fears'],4RvWPyQ5RL0ao9LPZeSouE,82
Livin' On A Prayer,['Bon Jovi'],37ZJ0p5Jm13JPevGcx4SkF,82
I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston'],2tUBqZG2AbRi7Q0BIrVrEj,82
Thunderstruck,['AC/DC'],57bgtoPSgt236HzfBOd8kj,82
